GeoName,Description,2020
United States,Personal income (millions of dollars),19607447
United States,Population (persons) 1/,329484123
United States,Per capita personal income (dollars) 2/,59510
Alabama,Personal income (millions of dollars),228748.8
Alabama,Population (persons) 1/,4921532
Alabama,Per capita personal income (dollars) 2/,46479
Alaska,Personal income (millions of dollars),46430.3
Alaska,Population (persons) 1/,731158
Alaska,Per capita personal income (dollars) 2/,63502
Arizona,Personal income (millions of dollars),368458.6
Arizona,Population (persons) 1/,7421401
Arizona,Per capita personal income (dollars) 2/,49648
Arkansas,Personal income (millions of dollars),143147.9
Arkansas,Population (persons) 1/,3030522
Arkansas,Per capita personal income (dollars) 2/,47235
California,Personal income (millions of dollars),2763312
California,Population (persons) 1/,39368078
California,Per capita personal income (dollars) 2/,70192
Colorado,Personal income (millions of dollars),370392.1
Colorado,Population (persons) 1/,5807719
Colorado,Per capita personal income (dollars) 2/,63776
Connecticut,Personal income (millions of dollars),279612.4
Connecticut,Population (persons) 1/,3557006
Connecticut,Per capita personal income (dollars) 2/,78609
Delaware,Personal income (millions of dollars),55357.4
Delaware,Population (persons) 1/,986809
Delaware,Per capita personal income (dollars) 2/,56097
District of Columbia,Personal income (millions of dollars),61706.1
District of Columbia,Population (persons) 1/,712816
District of Columbia,Per capita personal income (dollars) 2/,86567
Florida,Personal income (millions of dollars),1209995.9
Florida,Population (persons) 1/,21733312
Florida,Per capita personal income (dollars) 2/,55675
Georgia,Personal income (millions of dollars),554566.5
Georgia,Population (persons) 1/,10710017
Georgia,Per capita personal income (dollars) 2/,51780
Hawaii,Personal income (millions of dollars),82527.3
Hawaii,Population (persons) 1/,1407006
Hawaii,Per capita personal income (dollars) 2/,58655
Idaho,Personal income (millions of dollars),89077.7
Idaho,Population (persons) 1/,1826913
Idaho,Per capita personal income (dollars) 2/,48759
Illinois,Personal income (millions of dollars),792135.5
Illinois,Population (persons) 1/,12587530
Illinois,Per capita personal income (dollars) 2/,62930
Indiana,Personal income (millions of dollars),350759.5
Indiana,Population (persons) 1/,6754953
Indiana,Per capita personal income (dollars) 2/,51926
Iowa,Personal income (millions of dollars),169181.6
Iowa,Population (persons) 1/,3163561
Iowa,Per capita personal income (dollars) 2/,53478
Kansas,Personal income (millions of dollars),163462.2
Kansas,Population (persons) 1/,2913805
Kansas,Per capita personal income (dollars) 2/,56099
Kentucky,Personal income (millions of dollars),211947.6
Kentucky,Population (persons) 1/,4477251
Kentucky,Per capita personal income (dollars) 2/,47339
Louisiana,Personal income (millions of dollars),236327.2
Louisiana,Population (persons) 1/,4645318
Louisiana,Per capita personal income (dollars) 2/,50874
Maine,Personal income (millions of dollars),73192.8
Maine,Population (persons) 1/,1350141
Maine,Per capita personal income (dollars) 2/,54211
Maryland,Personal income (millions of dollars),404520.7
Maryland,Population (persons) 1/,6055802
Maryland,Per capita personal income (dollars) 2/,66799
Massachusetts,Personal income (millions of dollars),540855.3
Massachusetts,Population (persons) 1/,6893574
Massachusetts,Per capita personal income (dollars) 2/,78458
Michigan,Personal income (millions of dollars),530808.6
Michigan,Population (persons) 1/,9966555
Michigan,Per capita personal income (dollars) 2/,53259
Minnesota,Personal income (millions of dollars),350784.7
Minnesota,Population (persons) 1/,5657342
Minnesota,Per capita personal income (dollars) 2/,62005
Mississippi,Personal income (millions of dollars),124988.2
Mississippi,Population (persons) 1/,2966786
Mississippi,Per capita personal income (dollars) 2/,42129
Missouri,Personal income (millions of dollars),318019.1
Missouri,Population (persons) 1/,6151548
Missouri,Per capita personal income (dollars) 2/,51697
Montana,Personal income (millions of dollars),57660.2
Montana,Population (persons) 1/,1080577
Montana,Per capita personal income (dollars) 2/,53361
Nebraska,Personal income (millions of dollars),111545
Nebraska,Population (persons) 1/,1937552
Nebraska,Per capita personal income (dollars) 2/,57570
Nevada,Personal income (millions of dollars),168587.3
Nevada,Population (persons) 1/,3138259
Nevada,Per capita personal income (dollars) 2/,53720
New Hampshire,Personal income (millions of dollars),91673.1
New Hampshire,Population (persons) 1/,1366275
New Hampshire,Per capita personal income (dollars) 2/,67097
New Jersey,Personal income (millions of dollars),652498.9
New Jersey,Population (persons) 1/,8882371
New Jersey,Per capita personal income (dollars) 2/,73460
New Mexico,Personal income (millions of dollars),97603.5
New Mexico,Population (persons) 1/,2106319
New Mexico,Per capita personal income (dollars) 2/,46338
New York,Personal income (millions of dollars),1440049.5
New York,Population (persons) 1/,19336776
New York,Per capita personal income (dollars) 2/,74472
North Carolina,Personal income (millions of dollars),533269.3
North Carolina,Population (persons) 1/,10600823
North Carolina,Per capita personal income (dollars) 2/,50305
North Dakota,Personal income (millions of dollars),47089.3
North Dakota,Population (persons) 1/,765309
North Dakota,Per capita personal income (dollars) 2/,61530
Ohio,Personal income (millions of dollars),627231.3
Ohio,Population (persons) 1/,11693217
Ohio,Per capita personal income (dollars) 2/,53641
Oklahoma,Personal income (millions of dollars),198552.1
Oklahoma,Population (persons) 1/,3980783
Oklahoma,Per capita personal income (dollars) 2/,49878
Oregon,Personal income (millions of dollars),238847.1
Oregon,Population (persons) 1/,4241507
Oregon,Per capita personal income (dollars) 2/,56312
Pennsylvania,Personal income (millions of dollars),788725.2
Pennsylvania,Population (persons) 1/,12783254
Pennsylvania,Per capita personal income (dollars) 2/,61700
Rhode Island,Personal income (millions of dollars),64299.9
Rhode Island,Population (persons) 1/,1057125
Rhode Island,Per capita personal income (dollars) 2/,60825
South Carolina,Personal income (millions of dollars),250573.6
South Carolina,Population (persons) 1/,5218040
South Carolina,Per capita personal income (dollars) 2/,48021
South Dakota,Personal income (millions of dollars),52920.7
South Dakota,Population (persons) 1/,892717
South Dakota,Per capita personal income (dollars) 2/,59281
Tennessee,Personal income (millions of dollars),351546.3
Tennessee,Population (persons) 1/,6886834
Tennessee,Per capita personal income (dollars) 2/,51046
Texas,Personal income (millions of dollars),1618635.1
Texas,Population (persons) 1/,29360759
Texas,Per capita personal income (dollars) 2/,55129
Utah,Personal income (millions of dollars),169656.3
Utah,Population (persons) 1/,3249879
Utah,Per capita personal income (dollars) 2/,52204
Vermont,Personal income (millions of dollars),36894.2
Vermont,Population (persons) 1/,623347
Vermont,Per capita personal income (dollars) 2/,59187
Virginia,Personal income (millions of dollars),532256.2
Virginia,Population (persons) 1/,8590563
Virginia,Per capita personal income (dollars) 2/,61958
Washington,Personal income (millions of dollars),516441.1
Washington,Population (persons) 1/,7693612
Washington,Per capita personal income (dollars) 2/,67126
West Virginia,Personal income (millions of dollars),80304.1
West Virginia,Population (persons) 1/,1784787
West Virginia,Per capita personal income (dollars) 2/,44994
Wisconsin,Personal income (millions of dollars),324252
Wisconsin,Population (persons) 1/,5832655
Wisconsin,Per capita personal income (dollars) 2/,55593
Wyoming,Personal income (millions of dollars),36019.8
Wyoming,Population (persons) 1/,582328
Wyoming,Per capita personal income (dollars) 2/,61855
New England,Personal income (millions of dollars),1086527.7
New England,Population (persons) 1/,14847468
New England,Per capita personal income (dollars) 2/,73179
Mideast,Personal income (millions of dollars),3402857.8
Mideast,Population (persons) 1/,48757828
Mideast,Per capita personal income (dollars) 2/,69791
Great Lakes,Personal income (millions of dollars),2625186.9
Great Lakes,Population (persons) 1/,46834910
Great Lakes,Per capita personal income (dollars) 2/,56052
Plains,Personal income (millions of dollars),1213002.7
Plains,Population (persons) 1/,21481834
Plains,Per capita personal income (dollars) 2/,56466
Southeast,Personal income (millions of dollars),4457671.5
Southeast,Population (persons) 1/,85565785
Southeast,Per capita personal income (dollars) 2/,52096
Southwest,Personal income (millions of dollars),2283249.3
Southwest,Population (persons) 1/,42869262
Southwest,Per capita personal income (dollars) 2/,53261
Rocky Mountain,Personal income (millions of dollars),722806.1
Rocky Mountain,Population (persons) 1/,12547416
Rocky Mountain,Per capita personal income (dollars) 2/,57606
Far West,Personal income (millions of dollars),3816145
Far West,Population (persons) 1/,56579620
Far West,Per capita personal income (dollars) 2/,67447